,schoolid,intervention,achievement_score,success_expect,frst_in_family,school_mindset,school_achievement,school_ethnic_minority,school_poverty,school_size,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,ethnicity_12,ethnicity_13,ethnicity_14,ethnicity_15,gender_1,gender_2,school_urbanicity_0,school_urbanicity_1,school_urbanicity_2,school_urbanicity_3,school_urbanicity_4,Delta
0,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
1,76.0,1.0,,4.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
2,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
3,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
4,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
5,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
6,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
7,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
9,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
10,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
11,76.0,1.0,,4.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
12,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
13,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
14,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
15,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
16,76.0,1.0,,4.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
17,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
18,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
19,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20,76.0,1.0,,7.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
21,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
22,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
23,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
24,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
25,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
26,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
27,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
28,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
29,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
30,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
31,76.0,1.0,,3.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
32,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
33,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
34,76.0,1.0,,3.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
35,76.0,1.0,1.3705049294877245,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1
36,76.0,1.0,,4.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
37,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
38,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
39,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
40,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
41,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
42,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
43,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
44,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
45,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
46,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
47,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
48,76.0,1.0,,7.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
49,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
50,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
51,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
52,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
53,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
54,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
55,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
56,76.0,1.0,,5.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
57,76.0,1.0,,5.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
58,76.0,1.0,,3.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
59,76.0,1.0,,6.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
60,76.0,1.0,,7.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
61,76.0,1.0,,4.0,0.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
62,76.0,1.0,,7.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
63,76.0,1.0,,6.0,1.0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
64,75.0,1.0,,6.0,1.0,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
65,75.0,1.0,,6.0,1.0,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
66,75.0,1.0,,6.0,1.0,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
67,75.0,1.0,,6.0,1.0,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
68,75.0,1.0,,5.0,1.0,0.99162827193283,-0.674142022014537,1.56431794230193,0.230755432558687,-1.51190901146473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
