,schoolid,intervention,achievement_score,success_expect,frst_in_family,school_mindset,school_achievement,school_ethnic_minority,school_poverty,school_size,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_9,ethnicity_10,ethnicity_11,ethnicity_12,ethnicity_13,ethnicity_14,ethnicity_15,gender_1,gender_2,school_urbanicity_0,school_urbanicity_1,school_urbanicity_2,school_urbanicity_3,school_urbanicity_4,Delta
0,76,1,,6,1,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
1,76,1,,4,1,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
2,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
3,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
4,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
5,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
6,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
8,76,1,,6,0,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1
9,76,1,,6,1,0.3345435220473089,0.6485855743026551,-1.31092696938127,0.22407651434157,-0.426756652646919,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
